chrom	pos	strand	cov	percent_mod
JBJJSR010000001.1	1135229	+	369	1.6
JBJJSR010000001.1	1135365	-	277	1.77
JBJJSR010000001.1	1135463	-	325	91.0
JBJJSR010000001.1	1135781	+	318	2.15
JBJJSR010000001.1	1135844	+	346	1.42
JBJJSR010000001.1	1135847	+	393	2.24
JBJJSR010000001.1	1135876	-	256	77.0
JBJJSR010000001.1	1135935	-	7	97.1
JBJJSR010000001.1	1135937	+	19	88.55
JBJJSR010000001.1	1135988	+	374	80.0
JBJJSR010000001.1	1136052	-	336	88.0
JBJJSR010000001.1	1136067	-	308	1.6
JBJJSR010000001.1	1136071	+	241	2.03
JBJJSR010000001.1	1136088	+	280	3.1
JBJJSR010000001.1	1136109	-	295	1.01
JBJJSR010000001.1	1136187	-	11	96.75
JBJJSR010000001.1	1136189	+	9	97.01
JBJJSR010000001.1	1136211	-	15	94.98
JBJJSR010000001.1	1136213	+	23	93.43
JBJJSR010000001.1	1136284	-	317	62.0
JBJJSR010000001.1	1136358	-	23	84.25
JBJJSR010000001.1	1136360	+	25	91.35
JBJJSR010000001.1	1136406	-	168	1.16
JBJJSR010000001.1	1136409	-	3	97.4
JBJJSR010000001.1	1136411	+	8	97.63
JBJJSR010000001.1	1137011	+	378	1.05
JBJJSR010000001.1	1137157	+	387	77.0
JBJJSR010000001.1	1137348	+	357	83.0
JBJJSR010000001.1	1137731	-	340	87.0
JBJJSR010000001.1	1137938	+	376	2.59
JBJJSR010000001.1	1138015	-	293	68.0
JBJJSR010000001.1	1138023	-	18	92.91
JBJJSR010000001.1	1138025	+	14	95.85
JBJJSR010000001.1	1138310	-	348	1.14
JBJJSR010000001.1	1138427	-	291	1.02
JBJJSR010000001.1	1138476	-	8	96.67
JBJJSR010000001.1	1138478	+	16	95.48
JBJJSR010000001.1	1140076	+	321	62.0
JBJJSR010000001.1	1140199	+	268	74.0
JBJJSR010000001.1	1140449	-	10	96.95
JBJJSR010000001.1	1140451	+	7	97.2
JBJJSR010000001.1	1140631	-	345	1.15
JBJJSR010000001.1	1140845	-	205	1.84
JBJJSR010000001.1	1141494	+	309	1.9
JBJJSR010000001.1	1141587	-	275	1.08
JBJJSR010000001.1	1142529	-	340	1.16
JBJJSR010000001.1	1143034	-	305	1.29
JBJJSR010000001.1	1143196	-	336	1.18
JBJJSR010000001.1	1143318	-	318	1.24
JBJJSR010000001.1	1143329	+	370	1.6
JBJJSR010000001.1	1143738	-	311	1.27
JBJJSR010000001.1	1143961	+	342	87.0
JBJJSR010000001.1	1144188	+	311	1.27
JBJJSR010000001.1	1144529	-	8	96.9
JBJJSR010000001.1	1144531	+	7	98.01
JBJJSR010000001.1	1144546	-	321	6.41
JBJJSR010000001.1	1144617	+	331	90.0
JBJJSR010000001.1	1144658	-	5	98.49
JBJJSR010000001.1	1144660	+	5	98.53
JBJJSR010000001.1	1144661	-	329	60.0
JBJJSR010000001.1	1144708	-	271	1.09
JBJJSR010000001.1	1144939	-	305	65.0
JBJJSR010000001.1	1145205	+	362	2.95
JBJJSR010000001.1	1145374	-	338	1.74
JBJJSR010000001.1	1145533	-	288	11.66
JBJJSR010000001.1	1145941	+	193	1.53
JBJJSR010000001.1	1145968	-	246	80.0
JBJJSR010000001.1	1146861	-	6	97.49
JBJJSR010000001.1	1146863	+	9	97.35
JBJJSR010000001.1	1147071	-	351	1.68
JBJJSR010000001.1	1147237	-	132	34.0
JBJJSR010000001.1	1147239	+	45	80.52
JBJJSR010000001.1	1147240	-	32	77.62
JBJJSR010000001.1	1147242	+	73	66.97
JBJJSR010000001.1	1147290	-	309	64.0
JBJJSR010000001.1	1147350	-	354	2.48
JBJJSR010000001.1	1147550	+	346	3.62
JBJJSR010000001.1	1147602	-	358	83.0
JBJJSR010000001.1	1147746	-	14	95.48
JBJJSR010000001.1	1147748	+	18	91.13
JBJJSR010000001.1	1148053	+	392	76.0
JBJJSR010000001.1	1148309	+	370	80.0
JBJJSR010000001.1	1148399	+	351	1.13
JBJJSR010000001.1	1149010	+	376	1.57
JBJJSR010000001.1	1149024	+	319	93.0
JBJJSR010000001.1	1149196	+	400	1.96
JBJJSR010000001.1	1149347	+	302	66.0
JBJJSR010000001.1	1151839	-	276	69.0
JBJJSR010000001.1	1151848	-	376	79.0
JBJJSR010000001.1	1151968	+	365	2.41
JBJJSR010000001.1	1151977	-	364	1.09
JBJJSR010000001.1	1152318	+	336	2.32
JBJJSR010000001.1	1152333	+	264	74.0
JBJJSR010000001.1	1152390	+	323	1.22
JBJJSR010000001.1	1152730	-	331	60.0
JBJJSR010000001.1	1152753	+	310	63.0
JBJJSR010000001.1	1152757	+	309	96.0
JBJJSR010000001.1	1152877	-	388	77.0
JBJJSR010000001.1	1152971	-	371	1.07
JBJJSR010000001.1	1153013	+	365	2.66
JBJJSR010000001.1	1153213	-	312	1.88
JBJJSR010000001.1	1153284	+	305	65.0
JBJJSR010000001.1	1153386	+	353	1.4
JBJJSR010000001.1	1153750	-	302	98.0
JBJJSR010000001.1	1153882	+	377	1.31
JBJJSR010000001.1	1153943	-	364	1.09
JBJJSR010000001.1	1154448	-	371	80.0
JBJJSR010000001.1	1154584	+	326	2.39
JBJJSR010000001.1	1154615	-	372	80.0
JBJJSR010000001.1	1154687	-	366	1.08
JBJJSR010000001.1	1155238	+	277	72.0
JBJJSR010000001.1	1155411	-	331	60.0
JBJJSR010000001.1	1155422	+	392	76.0
JBJJSR010000001.1	1155525	+	376	1.31
JBJJSR010000001.1	1155762	-	385	2.28
JBJJSR010000001.1	1156005	-	384	1.03
JBJJSR010000001.1	1156020	-	336	88.0
JBJJSR010000001.1	1156250	+	389	77.0
JBJJSR010000001.1	1156350	-	347	86.0
JBJJSR010000001.1	1156382	+	357	1.65
JBJJSR010000001.1	1156883	+	385	2.28
JBJJSR010000001.1	1156968	-	339	1.17
JBJJSR010000001.1	1157021	+	276	72.0
JBJJSR010000001.1	1157022	-	14	94.29
JBJJSR010000001.1	1157024	+	29	86.64
JBJJSR010000001.1	1157462	+	363	2.42
JBJJSR010000001.1	1157812	+	266	6.99
JBJJSR010000001.1	1157912	+	377	1.57
JBJJSR010000001.1	1158500	-	286	1.35
JBJJSR010000001.1	1158531	+	261	1.13
JBJJSR010000001.1	1159135	-	268	74.0
JBJJSR010000001.1	1159247	+	325	61.0
JBJJSR010000001.1	1159945	+	324	92.0
JBJJSR010000001.1	1160432	-	374	2.6
JBJJSR010000001.1	1160474	-	323	62.0
JBJJSR010000001.1	1160498	+	322	1.53
JBJJSR010000001.1	1160597	-	361	2.43
JBJJSR010000001.1	1161124	-	353	1.39
JBJJSR010000001.1	1161178	-	294	1.34
JBJJSR010000001.1	1161476	-	360	3.74
JBJJSR010000001.1	1161544	+	386	1.53
JBJJSR010000001.1	1161598	-	297	2.3
JBJJSR010000001.1	1161817	+	305	65.0
JBJJSR010000001.1	1161844	-	353	1.4
JBJJSR010000001.1	1161970	+	328	61.0
JBJJSR010000001.1	1161971	-	9	96.95
JBJJSR010000001.1	1161973	+	15	94.59
JBJJSR010000001.1	1162094	-	351	1.68
JBJJSR010000001.1	1162300	-	349	1.41
JBJJSR010000001.1	1162338	+	383	78.0
JBJJSR010000001.1	1162339	-	267	72.0
JBJJSR010000001.1	1162519	-	344	7.73
JBJJSR010000001.1	1163109	-	11	95.53
JBJJSR010000001.1	1163111	+	9	97.49
JBJJSR010000001.1	1164008	+	324	61.0
JBJJSR010000001.1	1164091	+	365	3.69
JBJJSR010000001.1	1164247	+	274	1.08
JBJJSR010000001.1	1164248	-	2	98.78
JBJJSR010000001.1	1164250	+	12	96.35
JBJJSR010000001.1	1164277	+	351	2.5
JBJJSR010000001.1	1164339	-	314	63.0
JBJJSR010000001.1	1164413	+	323	1.81
JBJJSR010000001.1	1164448	-	265	75.0
JBJJSR010000001.1	1164613	+	357	83.0
JBJJSR010000001.1	1165034	+	297	98.0
JBJJSR010000001.1	1165111	+	331	90.0
JBJJSR010000001.1	1165112	-	13	90.73
JBJJSR010000001.1	1165114	+	14	96.21
JBJJSR010000001.1	1165301	-	29	88.72
JBJJSR010000001.1	1165303	+	7	98.02
JBJJSR010000001.1	1165315	+	351	1.13
JBJJSR010000001.1	1165322	-	301	1.31
JBJJSR010000001.1	1165391	-	340	1.16
JBJJSR010000001.1	1166088	-	325	61.0
JBJJSR010000001.1	1166153	-	265	1.48
JBJJSR010000001.1	1166264	+	384	1.54
JBJJSR010000001.1	1166434	+	364	82.0
JBJJSR010000001.1	1166578	+	401	74.0
JBJJSR010000001.1	1166756	-	7	98.09
JBJJSR010000001.1	1166758	+	16	94.03
JBJJSR010000001.1	1167053	-	328	1.2
JBJJSR010000001.1	1167173	-	320	62.0
JBJJSR010000001.1	1167330	+	310	64.0
JBJJSR010000001.1	1167363	-	359	1.1
JBJJSR010000001.1	1167399	-	323	61.0
JBJJSR010000001.1	1167765	-	365	1.08
JBJJSR010000001.1	1168173	-	303	98.0
JBJJSR010000001.1	1168438	-	402	74.0
JBJJSR010000001.1	1168676	+	314	63.0
JBJJSR010000001.1	1168677	-	22	92.79
JBJJSR010000001.1	1168679	+	17	93.23
JBJJSR010000001.1	1168736	+	259	77.0
JBJJSR010000001.1	1168737	-	19	91.67
JBJJSR010000001.1	1168739	+	32	85.9
JBJJSR010000001.1	1168751	+	378	1.31
JBJJSR010000001.1	1168761	-	318	93.0
JBJJSR010000001.1	1169445	-	363	82.0
JBJJSR010000001.1	1169489	+	303	65.0
JBJJSR010000001.1	1169900	-	305	3.15
JBJJSR010000001.1	1170185	+	338	1.17
JBJJSR010000001.1	1170315	+	313	95.0
JBJJSR010000001.1	1171507	-	365	82.0
JBJJSR010000001.1	1171735	+	348	1.97
JBJJSR010000001.1	1171938	-	379	2.07
JBJJSR010000001.1	1172116	-	356	1.11
JBJJSR010000001.1	1172143	+	372	80.0
JBJJSR010000001.1	1172333	+	332	4.86
JBJJSR010000001.1	1172696	-	367	2.65
JBJJSR010000001.1	1172896	-	352	2.49
JBJJSR010000001.1	1173589	+	322	62.0
JBJJSR010000001.1	1173674	-	309	96.0
JBJJSR010000001.1	1174426	+	318	93.0
JBJJSR010000001.1	1174887	-	367	2.39
JBJJSR010000001.1	1174923	-	331	60.0
JBJJSR010000001.1	1174945	-	336	88.0
JBJJSR010000001.1	1175072	-	13	95.68
JBJJSR010000001.1	1175074	+	7	97.76
JBJJSR010000001.1	1175780	-	5	98.52
JBJJSR010000001.1	1175782	+	14	82.05
JBJJSR010000001.1	1176107	+	296	1.66
JBJJSR010000001.1	1176158	+	348	1.14
JBJJSR010000001.1	1176490	-	333	89.0
JBJJSR010000001.1	1177184	+	306	1.29
JBJJSR010000001.1	1177287	+	284	1.05
JBJJSR010000001.1	1177516	+	331	60.0
JBJJSR010000001.1	1177900	+	317	1.24
JBJJSR010000001.1	1178026	-	384	1.79
JBJJSR010000001.1	1178594	-	315	63.0
JBJJSR010000001.1	1179063	-	404	74.0
JBJJSR010000001.1	1179205	-	375	79.0
JBJJSR010000001.1	1179212	-	351	85.0
JBJJSR010000001.1	1179270	+	291	68.0
JBJJSR010000001.1	1179308	+	312	64.0
JBJJSR010000001.1	1179508	-	369	1.33
JBJJSR010000001.1	1179823	-	371	2.36
JBJJSR010000001.1	1179860	-	14	95.47
JBJJSR010000001.1	1179862	+	26	89.43
JBJJSR010000001.1	1179864	+	329	60.0
JBJJSR010000001.1	1180141	-	373	80.0
JBJJSR010000001.1	1180202	+	323	62.0
JBJJSR010000001.1	1180265	+	339	87.0
JBJJSR010000001.1	1180272	-	375	79.0
JBJJSR010000001.1	1180356	+	312	2.5
JBJJSR010000001.1	1181153	-	361	1.1
JBJJSR010000001.1	1181328	+	354	1.94
JBJJSR010000001.1	1181395	+	383	1.03
JBJJSR010000001.1	1181611	-	360	83.0
JBJJSR010000001.1	1181636	-	322	1.23
JBJJSR010000001.1	1181758	-	358	2.72
JBJJSR010000001.1	1182011	-	375	1.06
JBJJSR010000001.1	1182640	-	17	93.8
JBJJSR010000001.1	1182642	+	12	95.89
JBJJSR010000001.1	1182658	+	269	74.0
JBJJSR010000001.1	1182765	+	297	67.0
JBJJSR010000001.1	1183057	-	387	3.01
JBJJSR010000001.1	1183183	+	321	1.83
JBJJSR010000001.1	1183426	+	32	3.03
JBJJSR010000001.1	1183553	+	363	1.89
JBJJSR010000001.1	1183727	+	351	85.0
JBJJSR010000001.1	1183834	+	357	3.25
JBJJSR010000001.1	1184690	+	339	4.78
JBJJSR010000001.1	1185120	+	283	70.0
JBJJSR010000001.1	1185277	-	373	80.0
JBJJSR010000001.1	1185445	-	325	61.0
JBJJSR010000001.1	1185745	+	332	90.0
JBJJSR010000001.1	1185757	+	343	1.15
JBJJSR010000001.1	1185775	-	319	62.0
JBJJSR010000001.1	1185863	-	321	62.0
JBJJSR010000001.1	1186598	+	276	72.0
JBJJSR010000001.1	1186637	+	291	68.0
JBJJSR010000001.1	1186850	+	313	4.28
JBJJSR010000001.1	1187070	+	214	88.0
JBJJSR010000001.1	1187611	+	334	60.0
JBJJSR010000001.1	1187652	+	33	2.94
JBJJSR010000001.1	1187832	+	33	2.94
JBJJSR010000001.1	1187847	-	274	1.79
JBJJSR010000001.1	1187884	-	280	71.0
JBJJSR010000001.1	1187956	+	263	75.0
JBJJSR010000001.1	1188003	+	161	60.0
JBJJSR010000001.1	1188039	+	147	1.29
JBJJSR010000001.1	1188065	+	276	72.0
JBJJSR010000001.1	1188340	+	255	1.16
JBJJSR010000001.1	1188671	-	8	96.38
JBJJSR010000001.1	1188673	+	21	90.22
JBJJSR010000001.1	1188775	-	9	97.41
JBJJSR010000001.1	1188777	+	11	95.85
JBJJSR010000001.1	1188912	+	138	1.29
JBJJSR010000001.1	1189187	+	316	63.0
JBJJSR010000001.1	1190467	-	393	1.5
JBJJSR010000001.1	1190612	+	300	99.0
JBJJSR010000001.1	1191000	+	295	2.31
JBJJSR010000001.1	1191356	+	276	72.0
JBJJSR010000001.1	1191522	+	309	64.0
JBJJSR010000001.1	1192098	-	297	1.33
JBJJSR010000001.1	1192221	-	35	82.0
JBJJSR010000001.1	1192223	+	15	91.53
JBJJSR010000001.1	1192706	-	358	2.98
JBJJSR010000001.1	1192741	+	299	66.0
JBJJSR010000001.1	1193003	+	216	2.25
JBJJSR010000001.1	1193336	-	365	2.4
JBJJSR010000001.1	1193400	+	285	1.38
JBJJSR010000001.1	1193667	+	307	1.6
JBJJSR010000001.1	1193792	-	24	4.0
JBJJSR010000001.1	1193921	-	381	78.0
JBJJSR010000001.1	1194072	-	5	98.13
JBJJSR010000001.1	1194074	+	10	96.42
JBJJSR010000001.1	1194156	+	288	2.7
JBJJSR010000001.1	1194569	-	26	87.74
JBJJSR010000001.1	1194571	+	18	91.55
JBJJSR010000001.1	1194591	+	267	5.32
JBJJSR010000001.1	1194676	-	355	84.0
JBJJSR010000001.1	1195520	-	311	3.12
JBJJSR010000001.1	1195557	+	311	64.0
JBJJSR010000001.1	1195839	-	10	96.43
JBJJSR010000001.1	1195841	+	15	94.83
JBJJSR010000001.1	1195851	+	345	1.43
JBJJSR010000001.1	1196053	+	354	84.0
JBJJSR010000001.1	1196402	-	252	79.0
JBJJSR010000001.1	1196559	+	311	64.0
JBJJSR010000001.1	1196716	-	19	93.04
JBJJSR010000001.1	1196718	+	11	96.11
JBJJSR010000001.1	1196774	-	343	86.0
JBJJSR010000001.1	1196921	-	155	64.0
JBJJSR010000001.1	1197216	+	147	67.0
JBJJSR010000001.1	1197439	+	294	68.0
JBJJSR010000001.1	1197848	-	216	91.0
JBJJSR010000001.1	1198132	-	331	4.61
JBJJSR010000001.1	1198182	-	90	1.1
JBJJSR010000001.1	1198423	+	274	72.0
JBJJSR010000001.1	1199050	-	357	1.65
JBJJSR010000001.1	1199424	+	283	69.0
JBJJSR010000001.1	1199436	-	270	1.46
JBJJSR010000001.1	1199650	-	6	97.86
JBJJSR010000001.1	1199652	+	13	95.58
JBJJSR010000001.1	1199743	+	265	1.85
JBJJSR010000001.1	1200004	+	236	1.66
JBJJSR010000001.1	1200005	-	4	98.52
JBJJSR010000001.1	1200007	+	6	97.87
JBJJSR010000001.1	1200009	-	314	95.0
JBJJSR010000001.1	1200052	-	322	62.0
JBJJSR010000001.1	1200330	+	300	66.0
JBJJSR010000001.1	1200379	-	15	94.09
JBJJSR010000001.1	1200381	+	16	94.9
JBJJSR010000001.1	1200514	-	328	1.5
JBJJSR010000001.1	1200702	-	335	89.0
JBJJSR010000001.1	1200814	+	319	62.0
JBJJSR010000001.1	1200841	-	333	60.0
JBJJSR010000001.1	1200975	+	344	86.0
JBJJSR010000001.1	1201032	+	317	63.0
JBJJSR010000001.1	1201110	+	338	2.59
JBJJSR010000001.1	1201127	-	268	74.0
JBJJSR010000001.1	1201260	+	315	63.0
JBJJSR010000001.1	1201301	-	292	68.0
JBJJSR010000001.1	1201481	-	7	97.79
JBJJSR010000001.1	1201483	+	9	96.99
JBJJSR010000001.1	1201615	-	301	99.0
JBJJSR010000001.1	1201651	-	265	2.56
JBJJSR010000001.1	1201733	-	328	61.0
JBJJSR010000001.1	1202254	-	267	1.48
JBJJSR010000001.1	1202881	-	342	1.44
JBJJSR010000001.1	1203272	-	11	95.79
JBJJSR010000001.1	1203274	+	11	96.28
JBJJSR010000001.1	1203804	+	271	73.0
JBJJSR010000001.1	1203805	-	181	1.59
JBJJSR010000001.1	1203914	-	329	60.0
JBJJSR010000001.1	1204091	+	215	92.0
JBJJSR010000001.1	1204143	+	337	88.0
JBJJSR010000001.1	1204307	-	320	62.0
JBJJSR010000001.1	1204921	-	303	1.3
JBJJSR010000001.1	1205024	-	342	87.0
JBJJSR010000001.1	1205346	-	330	90.0
JBJJSR010000001.1	1205408	-	338	88.0
JBJJSR010000001.1	1205481	-	260	2.95
JBJJSR010000001.1	1206128	+	326	61.0
JBJJSR010000001.1	1206356	+	323	62.0
JBJJSR010000001.1	1206516	-	291	68.0
JBJJSR010000001.1	1207187	-	342	87.0
JBJJSR010000001.1	1207325	+	320	93.0
JBJJSR010000001.1	1207390	-	166	60.0
JBJJSR010000001.1	1207395	-	55	1.79
JBJJSR010000001.1	1207496	-	316	63.0
JBJJSR010000001.1	1207505	-	191	1.01
JBJJSR010000001.1	1207606	+	288	1.7
JBJJSR010000001.1	1207860	+	347	3.34
JBJJSR010000001.1	1207965	-	355	1.11
JBJJSR010000001.1	1208584	+	268	74.0
JBJJSR010000001.1	1208911	+	301	98.0
JBJJSR010000001.1	1208939	-	211	2.19
JBJJSR010000001.1	1209047	-	342	1.44
JBJJSR010000001.1	1209053	+	308	1.91
JBJJSR010000001.1	1209095	+	290	68.0
JBJJSR010000001.1	1209606	+	297	67.0
JBJJSR010000001.1	1209617	-	332	1.19
JBJJSR010000001.1	1209975	-	263	1.47
JBJJSR010000001.1	1210266	-	31	85.51
JBJJSR010000001.1	1210268	+	19	92.24
JBJJSR010000001.1	1211683	+	259	77.0
JBJJSR010000001.1	1211823	-	382	1.55
JBJJSR010000001.1	1212456	-	303	65.0
JBJJSR010000001.1	1212534	+	264	1.12
JBJJSR010000001.1	1212681	+	297	67.0
JBJJSR010000001.1	1212762	+	27	3.57
JBJJSR010000001.1	1212872	-	244	1.16
JBJJSR010000001.1	1212900	-	379	1.56
JBJJSR010000001.1	1212921	-	367	2.39
JBJJSR010000001.1	1212987	-	381	1.04
JBJJSR010000001.1	1213148	+	355	1.39
JBJJSR010000001.1	1213202	-	316	1.25
JBJJSR010000001.1	1213226	+	261	76.0
JBJJSR010000001.1	1213249	+	249	11.07
JBJJSR010000001.1	1213563	-	362	2.16
JBJJSR010000001.1	1213565	+	339	88.0
JBJJSR010000001.1	1213709	+	290	1.35
JBJJSR010000001.1	1213759	+	322	3.3
JBJJSR010000001.1	1214019	-	14	95.02
JBJJSR010000001.1	1214021	+	29	89.97
JBJJSR010000001.1	1214022	-	273	73.0
JBJJSR010000001.1	1214031	-	354	84.0
JBJJSR010000001.1	1214206	+	350	1.13
JBJJSR010000001.1	1214284	+	284	70.0
JBJJSR010000001.1	1214514	+	281	1.4
JBJJSR010000001.1	1215693	-	390	76.0
JBJJSR010000001.1	1215743	+	287	69.0
JBJJSR010000001.1	1215756	-	8	97.0
JBJJSR010000001.1	1215758	+	43	86.48
JBJJSR010000001.1	1215866	+	358	1.1
JBJJSR010000001.1	1216016	+	308	63.0
JBJJSR010000001.1	1216098	-	5	98.45
JBJJSR010000001.1	1216100	+	7	97.89
JBJJSR010000001.1	1216472	+	350	1.41
JBJJSR010000001.1	1216885	-	369	1.34
JBJJSR010000001.1	1217163	-	352	1.68
JBJJSR010000001.1	1217253	+	267	74.0
JBJJSR010000001.1	1217296	-	6	98.18
JBJJSR010000001.1	1217298	+	20	91.07
JBJJSR010000001.1	1217457	-	319	1.54
JBJJSR010000001.1	1217540	-	245	79.0
JBJJSR010000001.1	1218047	+	35	2.78
JBJJSR010000001.1	1218220	-	334	3.47
JBJJSR010000001.1	1218495	-	22	90.79
JBJJSR010000001.1	1218497	+	20	92.25
JBJJSR010000001.1	1218500	+	254	1.17
JBJJSR010000001.1	1219059	+	324	61.0
JBJJSR010000001.1	1219609	-	41	84.93
JBJJSR010000001.1	1219611	+	23	92.6
JBJJSR010000001.1	1219653	+	335	2.33
JBJJSR010000001.1	1219665	+	344	4.97
JBJJSR010000001.1	1219681	-	398	75.0
JBJJSR010000001.1	1220165	+	359	1.1
JBJJSR010000001.1	1220483	-	306	1.29
JBJJSR010000001.1	1221196	-	13	87.43
JBJJSR010000001.1	1221198	+	10	93.55
JBJJSR010000001.1	1221408	-	350	1.69
JBJJSR010000001.1	1221949	-	345	1.15
JBJJSR010000001.1	1222026	+	339	88.0
JBJJSR010000001.1	1222303	-	315	62.0
JBJJSR010000001.1	1222609	-	341	87.0
JBJJSR010000001.1	1222616	-	299	99.0
JBJJSR010000001.1	1222694	+	365	3.18
JBJJSR010000001.1	1222778	+	251	2.32
JBJJSR010000001.1	1222931	+	351	1.68
JBJJSR010000001.1	1223017	+	373	1.32
JBJJSR010000001.1	1223062	+	371	2.37
JBJJSR010000001.1	1223400	-	302	1.62
JBJJSR010000001.1	1223578	+	374	1.32
JBJJSR010000001.1	1223753	-	390	2.01
JBJJSR010000001.1	1223977	-	29	3.33
JBJJSR010000001.1	1224086	-	376	1.05
JBJJSR010000001.1	1224124	+	295	2.96
JBJJSR010000001.1	1224233	-	379	1.56
JBJJSR010000001.1	1224439	-	285	69.0
JBJJSR010000001.1	1224531	+	376	79.0
JBJJSR010000001.1	1224644	-	341	1.16
JBJJSR010000001.1	1224798	-	15	95.34
JBJJSR010000001.1	1224800	+	25	88.26
JBJJSR010000001.1	1225028	-	374	2.35
JBJJSR010000001.1	1225265	+	310	95.0
JBJJSR010000001.1	1225541	+	318	1.85
JBJJSR010000001.1	1225585	-	290	68.0
JBJJSR010000001.1	1225987	+	263	75.0
JBJJSR010000001.1	1226029	+	297	67.0
JBJJSR010000001.1	1226283	+	335	89.0
JBJJSR010000001.1	1226547	+	336	2.33
JBJJSR010000001.1	1226594	-	322	62.0
JBJJSR010000001.1	1226604	+	333	60.0
JBJJSR010000001.1	1226939	-	261	76.0
JBJJSR010000001.1	1227858	+	305	65.0
JBJJSR010000001.1	1227875	-	286	1.38
JBJJSR010000001.1	1227963	-	241	82.0
JBJJSR010000001.1	1228537	+	286	1.04
JBJJSR010000001.1	1228840	-	341	2.01
JBJJSR010000001.1	1228843	-	352	85.0
JBJJSR010000001.1	1229003	-	9	97.22
JBJJSR010000001.1	1229005	+	11	95.75
JBJJSR010000001.1	1229014	+	331	90.0
JBJJSR010000001.1	1229036	+	292	1.01
JBJJSR010000001.1	1229789	+	253	4.17
JBJJSR010000001.1	1229898	-	345	1.15
JBJJSR010000001.1	1230094	-	248	1.59
JBJJSR010000001.1	1230149	-	6	97.4
JBJJSR010000001.1	1230151	+	10	95.98
JBJJSR010000001.1	1230559	+	340	87.0
JBJJSR010000001.1	1230677	+	319	62.0
JBJJSR010000001.1	1230683	-	313	63.0
JBJJSR010000001.1	1230695	-	309	9.91
JBJJSR010000001.1	1230855	-	9	96.67
JBJJSR010000001.1	1230857	+	16	93.65
JBJJSR010000001.1	1231067	-	270	4.56
JBJJSR010000001.1	1231481	-	261	76.0
JBJJSR010000001.1	1231775	+	299	66.0
JBJJSR010000001.1	1231856	-	294	68.0
JBJJSR010000001.1	1232394	+	285	70.0
JBJJSR010000001.1	1232475	-	250	79.0
JBJJSR010000001.1	1232657	-	235	84.0
JBJJSR010000001.1	1233126	+	328	1.2
JBJJSR010000001.1	1233797	-	228	2.97
JBJJSR010000001.1	1234592	-	317	63.0
JBJJSR010000001.1	1235365	-	245	1.61
JBJJSR010000001.1	1235373	-	271	3.9
JBJJSR010000001.1	1235454	-	218	91.0
JBJJSR010000001.1	1235620	-	246	80.0
JBJJSR010000001.1	1235993	-	228	87.0
JBJJSR010000001.1	1236128	-	277	72.0
JBJJSR010000001.1	1237445	-	11	94.86
JBJJSR010000001.1	1237447	+	7	96.2
JBJJSR010000001.1	1237697	-	234	1.27
JBJJSR010000001.1	1240590	-	208	95.0
JBJJSR010000001.1	1240596	+	278	1.07
JBJJSR010000001.1	1241595	+	234	85.0
JBJJSR010000001.1	1241782	+	285	70.0
JBJJSR010000001.1	1242006	-	279	1.06
JBJJSR010000001.1	1242025	+	223	2.19
JBJJSR010000001.1	1242152	+	259	76.0
JBJJSR010000001.1	1243339	-	279	71.0
JBJJSR010000001.1	1244787	-	221	90.0
JBJJSR010000001.1	1244946	+	255	78.0
JBJJSR010000001.1	1245013	-	157	63.0
JBJJSR010000001.1	1245982	-	214	1.82
JBJJSR010000001.1	1247090	+	264	75.0
JBJJSR010000001.1	1247631	-	294	68.0
JBJJSR010000001.1	1247762	+	303	1.3
JBJJSR010000001.1	1249235	-	297	67.0
JBJJSR010000001.1	1249709	-	237	84.0
JBJJSR010000001.1	1249722	-	282	70.0
JBJJSR010000001.1	1249783	-	27	3.57
JBJJSR010000001.1	1249998	+	260	76.0
JBJJSR010000001.1	1250301	+	282	1.05
JBJJSR010000001.1	1250341	-	165	3.39
JBJJSR010000001.1	1250779	+	284	2.07
JBJJSR010000001.1	1250928	-	168	1.18
JBJJSR010000001.1	1251988	-	344	86.0
JBJJSR010000001.1	1252210	+	316	63.0
JBJJSR010000001.1	1252541	-	25	3.85
JBJJSR010000001.1	1252646	-	25	3.85
JBJJSR010000001.1	1252919	+	322	62.0
JBJJSR010000001.1	1253732	-	339	88.0
JBJJSR010000001.1	1253858	+	20	4.76
JBJJSR010000001.1	1253917	+	134	72.0
JBJJSR010000001.1	1254463	+	320	1.84
JBJJSR010000001.1	1254538	+	309	1.27
JBJJSR010000001.1	1254611	-	8	97.12
JBJJSR010000001.1	1254613	+	10	96.55
JBJJSR010000001.1	1254793	+	300	1.63
JBJJSR010000001.1	1254929	-	11	94.71
JBJJSR010000001.1	1254931	+	2	99.33
JBJJSR010000001.1	1255019	-	13	93.72
JBJJSR010000001.1	1255021	+	8	97.26
JBJJSR010000001.1	1255033	+	306	65.0
JBJJSR010000001.1	1255425	+	304	97.0
JBJJSR010000001.1	1255426	-	335	89.0
JBJJSR010000001.1	1255478	-	6	97.99
JBJJSR010000001.1	1255480	+	10	96.35
JBJJSR010000001.1	1255481	-	269	74.0
JBJJSR010000001.1	1255517	-	311	96.0
JBJJSR010000001.1	1255632	+	256	1.54
JBJJSR010000001.1	1255856	+	283	4.39
JBJJSR010000001.1	1256019	-	41	81.28
JBJJSR010000001.1	1256021	+	10	96.25
JBJJSR010000001.1	1256413	-	270	1.82
JBJJSR010000001.1	1257307	-	311	96.0
JBJJSR010000001.1	1257337	-	39	81.34
JBJJSR010000001.1	1257339	+	18	93.1
